"","Estimate","Std. Error","z value","Pr(>|z|)","Quarter.rand","Site.rand"
"(Intercept)",-3.785,0.16,-23.621,0,0,2.11596596953097e-12
"position",-0.057,0.014,-4.093,0,0,2.11596596953097e-12
