"","Estimate","Std. Error","z value","Pr(>|z|)","Quarter.rand","Site.rand"
"(Intercept)",-2.953,0.083,-35.635,0,1.56634830804755e-13,0
"position",-0.015,0.007,-2.293,0.022,1.56634830804755e-13,0
