"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-3.29177912908081,0.0536458975693971,-61.3612462131427,0
"bin.lag",0.119236438161406,0.0357005672980002,3.33990317761941,0.000838076030328042
"position",-0.189410150674479,0.0570154410134765,-3.32208516338072,0.000893474189631283
