"","Estimate","Std. Error","z value","Pr(>|z|)","Quarter.rand","Site.rand"
"(Intercept)",-4.613,0.068,-67.443,0,4e-14,4.05919299497107e-14
"position",-0.325,0.071,-4.557,0,4e-14,4.05919299497107e-14
"loss",0.457,0.044,10.422,0,4e-14,4.05919299497107e-14
"shannon.d",-0.477,0.068,-6.994,0,4e-14,4.05919299497107e-14
"NNC_increase",0.095,0.045,2.113,0.035,4e-14,4.05919299497107e-14
"dis_m3_pyr",-0.078,0.074,-1.059,0.29,4e-14,4.05919299497107e-14
"run_mm_cyr",0.073,0.063,1.158,0.247,4e-14,4.05919299497107e-14
"ele_mt_cav",-0.114,0.079,-1.445,0.149,4e-14,4.05919299497107e-14
"ppd_pk_uav",0.081,0.037,2.176,0.03,4e-14,4.05919299497107e-14
