"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.09369855518294,0.106234088225843,-10.2951752441066,7.40845551183116e-25
"novel.classNONE",0.100322179169562,0.105337652056276,0.95238670324611,0.340900900427711
"novel.classBLIP",0.507837287607169,0.132455276684245,3.83402836277925,0.00012606159644089
