"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.00802693183422315,0.164844730022999,-0.048693894145741,0.961163241871165
"lag_to_next",-0.0680734906347254,0.0991292410224617,-0.686714534809166,0.492262635828113
